City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,bugulma,54.55,52.8,2.34,89,100,4.26,RU,2023-04-01 15:48:33
138,chivay,-15.6383,-71.6011,14.03,50,97,3.68,PE,2023-04-01 15:48:34
139,yar-sale,66.8333,70.8333,1.15,98,100,8.91,RU,2023-04-01 15:48:34
140,carnarvon,-24.8667,113.6333,24.94,73,93,5.32,AU,2023-04-01 15:48:34
141,plettenberg bay,-34.0527,23.3716,18.76,71,0,3.06,ZA,2023-04-01 15:48:34
142,atuona,-9.8,-139.0333,26.85,77,80,7.05,PF,2023-04-01 15:48:35
143,ponta do sol,32.6667,-17.1,24.84,69,4,4.62,PT,2023-04-01 15:48:35
144,tautira,-17.7333,-149.15,28.02,74,20,4.23,PF,2023-04-01 15:48:36
145,phaltan,17.9833,74.4333,26.74,28,41,3.81,IN,2023-04-01 15:48:36
146,mecca,21.4267,39.8261,25.75,36,6,5.33,SA,2023-04-01 15:48:36
147,roma,43.2128,-75.4557,19.1,59,0,4.63,US,2023-04-01 15:47:50
148,nikolskoye,59.7035,30.7861,0.94,96,100,3.14,RU,2023-04-01 15:48:36
149,lensk,60.7253,114.9278,-17.55,98,92,1.21,RU,2023-04-01 15:48:37
150,porto novo,6.4965,2.6036,30.9,62,90,5.58,BJ,2023-04-01 15:48:37
151,lebu,-37.6167,-73.65,17.0,65,49,4.01,CL,2023-04-01 15:48:37
152,faya,18.3851,42.4509,20.06,76,79,3.14,SA,2023-04-01 15:48:37
153,salalah,17.0151,54.0924,28.05,78,75,4.63,OM,2023-04-01 15:48:37
154,knysna,-34.0363,23.0471,20.31,58,0,3.27,ZA,2023-04-01 15:45:35
155,iquique,-20.2208,-70.1431,27.02,69,75,2.55,CL,2023-04-01 15:47:39
156,hangu,39.2489,117.7892,13.02,57,33,5.58,CN,2023-04-01 15:48:38
157,mapiripan,2.8892,-72.1256,23.91,87,100,1.62,CO,2023-04-01 15:48:38
158,clyde river,70.4692,-68.5914,-21.87,77,0,5.14,CA,2023-04-01 15:48:38
159,baoying,33.2292,119.3092,9.42,64,0,2.76,CN,2023-04-01 15:48:39
160,carberry,49.8689,-99.3602,-9.87,77,72,4.33,CA,2023-04-01 15:48:39
161,klaksvik,62.2266,-6.589,7.51,86,100,10.54,FO,2023-04-01 15:48:39
162,porto santo,33.072,-16.3415,21.21,64,20,6.17,PT,2023-04-01 15:48:39
163,san patricio,28.017,-97.5169,27.97,65,98,2.77,US,2023-04-01 15:48:39
164,minot,48.2325,-101.2963,-1.66,69,0,7.2,US,2023-04-01 15:48:40
165,huarmey,-10.0681,-78.1522,26.52,76,75,3.93,PE,2023-04-01 15:48:40
166,ossora,59.2353,163.0719,-6.59,96,99,1.69,RU,2023-04-01 15:48:40
167,mezen,65.8522,44.24,-10.94,95,67,1.04,RU,2023-04-01 15:48:40
168,mehamn,71.0357,27.8492,-1.05,74,100,12.86,NO,2023-04-01 15:48:40
169,ilhabela,-23.7781,-45.3581,28.47,66,1,1.98,BR,2023-04-01 15:48:41
